"ISO 3","NAME","AVG SCHOLARS"
"USA","United States",669677.9
"CHN","China",475115.1
"JPN","Japan",206527.3
"GBR","United Kingdom",152962.75
"DEU","Germany",122051.45
"ITA","Italy",109290
"FRA","France",102041.2
"IND","India",100772.4
"ESP","Spain",89088.75
"KOR","South Korea",77643.4
"BRA","Brazil",76850.75
"CAN","Canada",73705.2
"RUS","Russia",59155.25
"AUS","Australia",59016.65
"NLD","Netherlands",43707.45
"TUR","Turkey",37379.55
"POL","Poland",32349.8
"IRN","Iran",28018.3
"SWE","Sweden",27915.35
"CHE","Switzerland",26399.75
"BEL","Belgium",21124.05
"MEX","Mexico",20306.4
"ISR","Israel",17770.75
"DNK","Denmark",16926.4
"GRC","Greece",16188.5
"PRT","Portugal",15873.55
"CZE","Czechia",15422
"AUT","Austria",15296.1
"ARG","Argentina",14918.5
"FIN","Finland",14385.2
"MYS","Malaysia",13327.55
"NOR","Norway",12781.5
"SGP","Singapore",11946.55
"EGY","Egypt",11802.15
"HKG","Hong Kong SAR China",11524
"HUN","Hungary",10821.95
"NZL","New Zealand",10571.05
"ZAF","South Africa",10551.95
"UKR","Ukraine",10438.15
"PAK","Pakistan",10117.55
"IRL","Ireland",9207.3
"ROU","Romania",8968.1
"CHL","Chile",8050.75
"SRB","Serbia",7010.5
"THA","Thailand",6600.2
"HRV","Croatia",6066.25
"SAU","Saudi Arabia",5626.55
"TUN","Tunisia",5330.3
"SVK","Slovakia",5305.85
"NGA","Nigeria",5091.45
"COL","Colombia",4913.5
"BGR","Bulgaria",4172.8
"IDN","Indonesia",3805
"MAR","Morocco",3798.35
"SVN","Slovenia",3187.6
"BGD","Bangladesh",3057.05
"DZA","Algeria",2991.7
"VNM","Vietnam",2301.3
"LTU","Lithuania",1982.95
"JOR","Jordan",1814.8
"BLR","Belarus",1796.5
"KEN","Kenya",1693.2
"EST","Estonia",1447.55
"ARE","United Arab Emirates",1439.8
"KAZ","Kazakhstan",1410.85
"LBN","Lebanon",1396.9
"PER","Peru",1337.45
"PHL","Philippines",1260.85
"URY","Uruguay",1121.65
"ETH","Ethiopia",1098.6
"IRQ","Iraq",1040.83333333333
"KWT","Kuwait",1033.55
"NPL","Nepal",1017.4
"LVA","Latvia",930.9
"GHA","Ghana",924.4
"CMR","Cameroon",850.25
"LKA","Sri Lanka",845.95
"GEO","Georgia",838.85
"SEN","Senegal",828.1
"UGA","Uganda",800.3
"TZA","Tanzania",775.8
"OMN","Oman",748.4
"PRI","Puerto Rico",741.5
"ARM","Armenia",734.9
"QAT","Qatar",727.055555555556
"CYP","Cyprus",707.45
"BIH","Bosnia & Herzegovina",652.7
"UZB","Uzbekistan",643.15
"CIV","Côte d’Ivoire",608.7
"ECU","Ecuador",606.3
"AZE","Azerbaijan",591.5
"BFA","Burkina Faso",503.45
"CRI","Costa Rica",483.5
"MKD","North Macedonia",473.7
"SDN","Sudan",430.55
"MAC","Macao SAR China",429.526315789474
"ZWE","Zimbabwe",415.45
"MWI","Malawi",342.25
"BEN","Benin",322.25
"JAM","Jamaica",310.2
